Query,Final Rank,Document Name,URL,Cosine Similarity,PageRank,Final Score
baseball magic airplane,1,59,https://www.cpp.edu/privacy.shtml,0.4076,1.15e-03,4.68e-04
camera smartphone gaming,1,64,https://www.cpp.edu/prospective-student-gateway/,0.5525,7.98e-04,4.41e-04
baseball magic airplane,2,17,https://www.cpp.edu/contact.shtml,0.4076,8.02e-04,3.27e-04
baseball magic airplane,3,21,https://www.cpp.edu/family/,0.4076,7.98e-04,3.25e-04
baseball magic airplane,4,181,https://www.cpp.edu/alumni/member-benefits.shtml,0.9131,6.90e-05,6.30e-05
computer banana ocean,1,405,https://www.cpp.edu/student-affairs/topics/policies.shtml,1.0,6.00e-05,6.00e-05
computer banana ocean,2,271,https://www.cpp.edu/commencement/planning-ahead/index.shtml,1.0,5.00e-05,5.00e-05
computer banana ocean,3,165,https://www.cpp.edu/alumni/student-outreach/index.shtml,1.0,4.50e-05,4.50e-05
computer banana ocean,4,164,https://www.cpp.edu/alumni/get-involved/index.shtml,1.0,4.50e-05,4.50e-05
computer banana ocean,5,157,https://www.cpp.edu/alumni/events.shtml,1.0,4.50e-05,4.50e-05
computer banana ocean,6,343,https://www.cpp.edu/engineering/outreach/tours.shtml,1.0,4.20e-05,4.20e-05
baseball magic airplane,5,14,https://www.cpp.edu/aboutcpp/visitor-information/attractions.shtml,0.9131,4.30e-05,3.93e-05
baseball magic airplane,6,173,https://www.cpp.edu/alumni/lovestories2024.shtml,0.9131,4.20e-05,3.84e-05
camera smartphone gaming,2,14,https://www.cpp.edu/aboutcpp/visitor-information/attractions.shtml,0.818,4.30e-05,3.52e-05
computer banana ocean,7,107,https://www.cpp.edu/env/landscape-architecture/index.shtml,1.0,3.50e-05,3.50e-05
baseball magic airplane,7,45,https://www.cpp.edu/campus-safety-plan.shtml,0.4076,8.00e-05,3.26e-05
camera smartphone gaming,3,423,https://www.cpp.edu/student-affairs/topics/meet-sa-leaders.shtml,0.5525,5.80e-05,3.20e-05
computer banana ocean,8,234,https://www.cpp.edu/agri/apparel-merchandising-and-management/index.shtml,1.0,3.20e-05,3.20e-05
computer banana ocean,9,138,https://www.cpp.edu/openhouse/faqs.shtml,1.0,3.20e-05,3.20e-05
baseball magic airplane,8,145,https://www.cpp.edu/aboutcpp/visitor-information/attractions.shtml#main,0.9131,3.20e-05,2.92e-05
baseball magic airplane,9,208,https://www.cpp.edu/agri/centers-and-more/ctilt/index.shtml,0.9131,3.20e-05,2.92e-05
baseball magic airplane,10,60,https://www.cpp.edu/ssep/uss-home.shtml,0.4076,6.70e-05,2.73e-05
camera smartphone gaming,4,145,https://www.cpp.edu/aboutcpp/visitor-information/attractions.shtml#main,0.818,3.20e-05,2.62e-05
camera smartphone gaming,5,341,https://www.cpp.edu/engineering/ce/index.shtml,0.5753,4.50e-05,2.59e-05
camera smartphone gaming,6,442,https://www.cpp.edu/collins/james-arthur-collins.shtml,0.7976,3.20e-05,2.55e-05
baseball magic airplane,11,405,https://www.cpp.edu/student-affairs/topics/policies.shtml,0.4076,6.00e-05,2.45e-05
baseball magic airplane,12,306,https://www.cpp.edu/cba/student-success-center/index.shtml,0.4076,6.00e-05,2.45e-05
camera smartphone gaming,7,373,https://www.cpp.edu/em/evacuation-sites.shtml,0.5525,4.40e-05,2.43e-05
camera smartphone gaming,8,314,https://www.cpp.edu/engineering/academics/undergrad.shtml,0.5753,4.20e-05,2.42e-05
baseball magic airplane,13,414,https://www.cpp.edu/student-affairs/dsa/leadership.shtml,0.4076,5.90e-05,2.40e-05
baseball magic airplane,14,39,https://www.cpp.edu/em/,0.4076,5.80e-05,2.36e-05
baseball magic airplane,15,416,https://www.cpp.edu/student-affairs/dsa/contact-us.shtml,0.4076,5.80e-05,2.36e-05
baseball magic airplane,16,185,https://www.cpp.edu/contact.shtml#main,0.4076,5.70e-05,2.32e-05
baseball magic airplane,17,291,https://www.cpp.edu/cba/graduate-business-programs/contact.shtml,0.4076,5.40e-05,2.20e-05
baseball magic airplane,18,153,https://www.cpp.edu/alumni/get-involved/mentoring.shtml,0.4076,5.00e-05,2.04e-05
baseball magic airplane,19,271,https://www.cpp.edu/commencement/planning-ahead/index.shtml,0.4076,5.00e-05,2.04e-05
camera smartphone gaming,9,436,https://www.cpp.edu/collins/current-students/hospitality-work-experience.shtml,0.5753,3.50e-05,2.01e-05
camera smartphone gaming,10,34,https://www.cpp.edu/news/content/2025/04/graduate-and-fellow-broncos-set-the-stage-for-indie-musicians-to-shine/index.shtml,0.6032,3.30e-05,1.99e-05
camera smartphone gaming,11,210,https://www.cpp.edu/agri/apparel-technology-research-center/index.shtml,0.6032,3.20e-05,1.93e-05
baseball magic airplane,20,374,https://www.cpp.edu/em/index.shtml,0.4076,4.70e-05,1.92e-05
baseball magic airplane,21,20,https://www.cpp.edu/officeofequity/index.shtml,0.4076,4.70e-05,1.92e-05
baseball magic airplane,22,366,https://www.cpp.edu/em/emergency-communication/safety-alert-system.shtml,0.4076,4.70e-05,1.92e-05
baseball magic airplane,23,330,https://www.cpp.edu/engineering/aro/index.shtml,0.4076,4.60e-05,1.88e-05
camera smartphone gaming,12,141,https://www.cpp.edu/openhouse/directions.shtml,0.5753,3.20e-05,1.84e-05
baseball magic airplane,24,148,https://www.cpp.edu/alumni/get-involved/professor.shtml,0.4076,4.50e-05,1.83e-05
baseball magic airplane,25,176,https://www.cpp.edu/alumni/contact.shtml,0.4076,4.50e-05,1.83e-05
baseball magic airplane,26,287,https://www.cpp.edu/cba/giving/index.shtml,0.4076,4.50e-05,1.83e-05
baseball magic airplane,27,301,https://www.cpp.edu/cba/about/deans-office.shtml,0.4076,4.50e-05,1.83e-05
baseball magic airplane,28,372,https://www.cpp.edu/em/contact-us.shtml,0.4076,4.40e-05,1.79e-05
baseball magic airplane,29,368,https://www.cpp.edu/em/emergency-procedures.shtml,0.4076,4.40e-05,1.79e-05
baseball magic airplane,30,373,https://www.cpp.edu/em/evacuation-sites.shtml,0.4076,4.40e-05,1.79e-05
baseball magic airplane,31,371,https://www.cpp.edu/em/emergency-communication/index.shtml,0.4076,4.40e-05,1.79e-05
baseball magic airplane,32,350,https://www.cpp.edu/engineering/aro/graduate/index.shtml,0.4076,4.30e-05,1.75e-05
baseball magic airplane,33,324,https://www.cpp.edu/engineering/giving/index.shtml,0.4076,4.20e-05,1.71e-05
baseball magic airplane,34,346,https://www.cpp.edu/engineering/about/deans-office.shtml,0.4076,4.20e-05,1.71e-05
baseball magic airplane,35,344,https://www.cpp.edu/engineering/activities/symposium.shtml,0.4076,4.20e-05,1.71e-05
baseball magic airplane,36,192,https://www.cpp.edu/studentparents/team.shtml,0.4076,3.90e-05,1.59e-05
baseball magic airplane,37,393,https://www.cpp.edu/cba/graduate-business-programs/faqs.shtml,0.4076,3.80e-05,1.55e-05
baseball magic airplane,38,468,https://www.cpp.edu/cpge/degree-programs/hospitality/index.shtml,0.4076,3.60e-05,1.47e-05
baseball magic airplane,39,460,https://www.cpp.edu/cpge/contact-us.shtml,0.4076,3.50e-05,1.43e-05
baseball magic airplane,40,458,https://www.cpp.edu/cpge/degree-programs/dietetics/index.shtml,0.4076,3.50e-05,1.43e-05
baseball magic airplane,41,467,https://www.cpp.edu/cpge/degree-programs/index.shtml,0.4076,3.50e-05,1.43e-05
baseball magic airplane,42,107,https://www.cpp.edu/env/landscape-architecture/index.shtml,0.4076,3.50e-05,1.43e-05
baseball magic airplane,43,489,https://www.cpp.edu/philanthropy/giving/endowment.shtml,0.4076,3.40e-05,1.39e-05
baseball magic airplane,44,470,https://www.cpp.edu/cpge/professional-development/index.shtml,0.4076,3.40e-05,1.39e-05
baseball magic airplane,45,463,https://www.cpp.edu/cpge/global-campus/index.shtml,0.4076,3.40e-05,1.39e-05
baseball magic airplane,46,465,https://www.cpp.edu/cpge/degree-programs/public-administration/index.shtml,0.4076,3.40e-05,1.39e-05
baseball magic airplane,47,466,https://www.cpp.edu/cpge/about-us/index.shtml,0.4076,3.40e-05,1.39e-05
baseball magic airplane,48,474,https://www.cpp.edu/cpge/degree-programs/system-engineering/index.shtml,0.4076,3.40e-05,1.39e-05
baseball magic airplane,49,471,https://www.cpp.edu/cpge/open-university/index.shtml,0.4076,3.40e-05,1.39e-05
baseball magic airplane,50,403,https://www.cpp.edu/campus-safety-plan.shtml#main,0.4076,3.40e-05,1.39e-05
baseball magic airplane,51,464,https://www.cpp.edu/cpge/degree-programs/geology/index.shtml,0.4076,3.40e-05,1.39e-05
baseball magic airplane,52,472,https://www.cpp.edu/cpge/degree-programs/interior-architecture/index.shtml,0.4076,3.40e-05,1.39e-05
baseball magic airplane,53,473,https://www.cpp.edu/cpge/certificate-programs/index.shtml,0.4076,3.30e-05,1.35e-05
baseball magic airplane,54,369,https://www.cpp.edu/em/#item-1,0.4076,3.30e-05,1.35e-05
baseball magic airplane,55,297,https://www.cpp.edu/cba/accounting/volunteer-income-tax-assistance/index.shtml,0.4076,3.30e-05,1.35e-05
baseball magic airplane,56,252,https://www.cpp.edu/agri/apparel-merchandising-and-management/faculty-staff/index.shtml,0.4076,3.20e-05,1.30e-05
baseball magic airplane,57,101,https://www.cpp.edu/env/architecture/program-degrees-admissions/master-of-architecture.shtml,0.4076,3.20e-05,1.30e-05
baseball magic airplane,58,108,https://www.cpp.edu/env/architecture/resources/studio-culture.shtml,0.4076,3.20e-05,1.30e-05
baseball magic airplane,59,113,https://www.cpp.edu/env/landscape-architecture/degrees-admissions/masters.shtml,0.4076,3.20e-05,1.30e-05
baseball magic airplane,60,188,https://www.cpp.edu/officeofequity/index.shtml#main,0.4076,3.20e-05,1.30e-05
baseball magic airplane,61,211,https://www.cpp.edu/agri/animal-science/faculty-staff/index.shtml,0.4076,3.20e-05,1.30e-05
baseball magic airplane,62,449,https://www.cpp.edu/sci/newsletter/geology-student-stands-for-educational-equity-and-environmental-justice.shtml,0.4076,3.20e-05,1.30e-05
baseball magic airplane,63,96,https://www.cpp.edu/env/about/contact-us.shtml,0.4076,3.20e-05,1.30e-05
baseball magic airplane,64,212,https://www.cpp.edu/agri/nutrition-food-science/faculty-staff/index.shtml,0.4076,3.20e-05,1.30e-05
baseball magic airplane,65,245,https://www.cpp.edu/agri/plant-science/faculty-staff/index.shtml,0.4076,3.20e-05,1.30e-05
baseball magic airplane,66,233,https://www.cpp.edu/agri/agribusiness-agricultural-science/faculty-staff/index.shtml,0.4076,3.20e-05,1.30e-05
baseball magic airplane,67,236,https://www.cpp.edu/agri/staff/index.shtml,0.4076,3.20e-05,1.30e-05
baseball magic airplane,68,114,https://www.cpp.edu/env/about/deans-office.shtml,0.4076,3.20e-05,1.30e-05
