Document Name,Cosine Similarity,Rank
344,0.6871385670109905,1
296,0.6476976785385011,2
369,0.6476976785385011,3
374,0.6476976785385011,4
39,0.6476976785385011,5
270,0.6177639236023932,6
403,0.6177639236023932,7
43,0.6177639236023932,8
45,0.6177639236023932,9
157,0.4459321158104818,10
12,0.44593211581048176,11
14,0.44593211581048176,12
143,0.44593211581048176,13
145,0.44593211581048176,14
146,0.44593211581048176,15
15,0.44593211581048176,16
308,0.44593211581048176,17
385,0.44593211581048176,18
42,0.44593211581048176,19
442,0.44593211581048176,20
452,0.44593211581048176,21
5,0.44593211581048176,22
52,0.44593211581048176,23
75,0.44593211581048176,24
83,0.44593211581048176,25
93,0.44593211581048176,26
